[autodl] run_id=20260914-053820-ttie-t022d-80steps
[autodl] started_at=2026-09-14T05:38:25+08:00
/home/wenchang/asdasdsad/wjq/TTIE/.venv/lib/python3.12/site-packages/timm/models/layers/__init__.py:49: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
/home/wenchang/anaconda3/envs/python3.12-tk2-2.3/lib/python3.12/site-packages/torch/cuda/__init__.py:654: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")
/home/wenchang/asdasdsad/wjq/TTIE/.venv/lib/python3.12/site-packages/open_clip/factory.py:129: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  checkpoint = torch.load(checkpoint_path, map_location=map_location)
1/100 seconds=3.429 updates=80
2/100 seconds=3.079 updates=80
3/100 seconds=3.998 updates=80
4/100 seconds=3.957 updates=80
5/100 seconds=4.193 updates=80
6/100 seconds=4.478 updates=80
7/100 seconds=4.217 updates=80
8/100 seconds=4.757 updates=80
9/100 seconds=4.508 updates=80
10/100 seconds=4.641 updates=80
11/100 seconds=4.775 updates=80
12/100 seconds=4.786 updates=80
13/100 seconds=4.742 updates=80
14/100 seconds=4.685 updates=80
15/100 seconds=4.710 updates=80
16/100 seconds=4.457 updates=80
17/100 seconds=4.770 updates=80
18/100 seconds=4.352 updates=80
19/100 seconds=4.694 updates=80
20/100 seconds=4.128 updates=80
21/100 seconds=4.662 updates=80
22/100 seconds=4.778 updates=80
23/100 seconds=4.696 updates=80
24/100 seconds=4.793 updates=80
25/100 seconds=4.823 updates=80
26/100 seconds=4.732 updates=80
27/100 seconds=4.416 updates=80
28/100 seconds=4.716 updates=80
29/100 seconds=4.698 updates=80
30/100 seconds=4.779 updates=80
31/100 seconds=4.726 updates=80
32/100 seconds=4.378 updates=80
33/100 seconds=4.636 updates=80
34/100 seconds=4.762 updates=80
35/100 seconds=4.634 updates=80
36/100 seconds=4.705 updates=80
37/100 seconds=4.623 updates=80
38/100 seconds=4.766 updates=80
39/100 seconds=4.773 updates=80
40/100 seconds=3.806 updates=80
41/100 seconds=4.650 updates=80
42/100 seconds=4.773 updates=80
43/100 seconds=3.872 updates=80
44/100 seconds=4.451 updates=80
45/100 seconds=4.690 updates=80
46/100 seconds=4.198 updates=80
47/100 seconds=4.898 updates=80
48/100 seconds=4.276 updates=80
49/100 seconds=4.664 updates=80
50/100 seconds=4.681 updates=80
51/100 seconds=4.121 updates=80
52/100 seconds=4.133 updates=80
53/100 seconds=4.707 updates=80
54/100 seconds=4.467 updates=80
55/100 seconds=4.459 updates=80
56/100 seconds=4.561 updates=80
57/100 seconds=3.963 updates=80
58/100 seconds=4.767 updates=80
59/100 seconds=4.593 updates=80
60/100 seconds=4.775 updates=80
61/100 seconds=4.747 updates=80
62/100 seconds=4.755 updates=80
63/100 seconds=4.743 updates=80
64/100 seconds=4.691 updates=80
65/100 seconds=4.644 updates=80
66/100 seconds=4.730 updates=80
67/100 seconds=4.730 updates=80
68/100 seconds=4.739 updates=80
69/100 seconds=4.553 updates=80
70/100 seconds=4.740 updates=80
71/100 seconds=4.746 updates=80
72/100 seconds=4.768 updates=80
73/100 seconds=4.702 updates=80
74/100 seconds=4.774 updates=80
75/100 seconds=4.733 updates=80
76/100 seconds=4.248 updates=80
77/100 seconds=4.553 updates=80
78/100 seconds=4.382 updates=80
79/100 seconds=4.639 updates=80
80/100 seconds=4.744 updates=80
81/100 seconds=4.105 updates=80
82/100 seconds=4.641 updates=80
83/100 seconds=4.453 updates=80
84/100 seconds=4.724 updates=80
85/100 seconds=4.587 updates=80
86/100 seconds=4.722 updates=80
87/100 seconds=4.553 updates=80
88/100 seconds=4.574 updates=80
89/100 seconds=4.691 updates=80
90/100 seconds=4.594 updates=80
91/100 seconds=4.796 updates=80
92/100 seconds=4.130 updates=80
93/100 seconds=4.889 updates=80
94/100 seconds=4.740 updates=80
95/100 seconds=4.755 updates=80
96/100 seconds=4.690 updates=80
97/100 seconds=4.510 updates=80
98/100 seconds=4.678 updates=80
99/100 seconds=4.687 updates=80
100/100 seconds=4.640 updates=80
All 100 outputs frozen before reference deployment
[autodl] finished_at=2026-09-14T05:46:11+08:00
[autodl] exit_code=0
